format,map_list
.mov,.mov
.mp4,.mp4
.mpg,.mpg
.mp3,.mp3
.wav,.wav
.avi,.avi
.dv,.dv
.mkv,.mkv
.mxf,.mxf
.wave,.wave
.m4a,.m4a
.wma,.wma
